date,base_sales,rtb_spend,promotion_spend,livestreaming_spend,incremental_rtb,incremental_promo,incremental_live,final_sales
2024-05-27,91,20044,56219,3300,123,380,6,600
2024-05-28,110,118940,34374,17441,574,219,119,1022
2024-05-29,108,27800,18511,5549,161,94,24,387
2024-05-30,108,113127,10924,40411,566,57,303,1034
2024-05-31,109,77957,55351,47384,467,376,359,1311
2024-06-01,174,72928,69717,3615,442,423,8,1047
2024-06-02,173,61522,57951,47755,376,388,362,1299
2024-06-03,159,27680,47727,26128,160,330,189,838
2024-06-04,149,21183,3775,14978,128,34,99,410
2024-06-05,175,26458,87163,3843,154,443,10,782
2024-06-06,161,22372,71884,25031,134,427,180,902
2024-06-07,144,93550,26353,39725,525,150,297,1116
2024-06-08,188,42015,88197,35354,246,443,262,1139
2024-06-09,162,6941,54169,2511,75,370,0,607
2024-06-10,164,116292,52418,3645,571,360,9,1104
2024-06-11,168,106054,67326,20143,555,418,141,1282
2024-06-12,149,111330,73059,14764,564,429,98,1240
2024-06-13,167,119388,59083,11619,574,392,72,1205
2024-06-14,161,20867,11528,14050,127,59,92,439
2024-06-15,190,47549,30444,40174,283,184,301,958
2024-06-16,191,90988,83527,46461,518,440,351,1500
2024-06-17,155,83522,20215,20255,491,105,142,893
2024-06-18,150,18467,33495,45305,116,211,342,819
2024-06-19,149,97899,38886,16074,537,259,108,1053
2024-06-20,150,26932,39546,23821,156,265,170,741
2024-06-21,157,26858,55164,11301,156,375,70,758
2024-06-22,187,64436,84876,32023,394,441,236,1258
2024-06-23,176,71152,21662,48949,432,115,371,1094
2024-06-24,167,69610,10935,30174,424,57,221,869
2024-06-25,159,10978,17772,17890,88,90,123,460
2024-06-26,173,105295,79823,32390,553,437,239,1402
2024-06-27,156,31872,58122,6146,183,388,29,756
2024-06-28,186,15541,25731,44432,104,145,335,770
2024-06-29,190,106649,73435,25154,556,430,181,1357
2024-06-30,166,114678,77523,22467,569,435,159,1329
2024-07-01,99,103455,76186,29293,550,433,214,1296
2024-07-02,114,97141,82703,31239,535,440,229,1318
2024-07-03,107,78629,22701,3588,470,122,8,707
2024-07-04,117,66102,67953,34130,404,419,253,1193
2024-07-05,115,10438,41448,12096,86,281,76,558
2024-07-06,134,49014,75779,35697,293,433,265,1125
2024-07-07,117,44722,65564,41126,264,414,309,1104
2024-07-08,95,31170,69880,40197,179,423,301,998
2024-07-09,106,86810,59054,27625,503,392,201,1202
2024-07-10,119,59505,15968,26008,363,80,188,750
2024-07-11,113,9725,49052,7143,84,339,37,573
2024-07-12,98,26421,88620,38767,154,443,290,985
2024-07-13,138,81991,84364,13570,485,441,88,1152
2024-07-14,130,9135,3885,24834,82,34,178,424
2024-07-15,103,102144,14833,14213,547,74,93,817
2024-07-16,113,59417,11855,6691,362,61,33,569
2024-07-17,112,57670,65338,31477,351,413,231,1107
2024-07-18,100,71088,73600,2716,432,430,1,963
2024-07-19,115,98961,19216,37432,540,99,279,1033
2024-07-20,143,41737,45526,15879,244,314,107,808
2024-07-21,138,81361,75663,6,482,433,0,1053
2024-07-22,123,67887,65952,25556,414,415,184,1136
2024-07-23,99,32043,48801,2342,184,337,0,620
2024-07-24,103,105435,53131,13808,554,364,90,1111
2024-07-25,118,95691,45752,35348,531,316,262,1227
2024-07-26,118,79014,26779,3134,472,153,5,748
2024-07-27,143,102069,50851,41966,547,351,315,1356
2024-07-28,167,104075,61999,190,551,403,0,1121
2024-07-29,119,85003,78599,12341,497,436,78,1130
2024-07-30,125,100441,57266,37045,543,385,276,1329
2024-07-31,123,83696,68500,15813,491,421,106,1141
2024-08-01,120,81616,14406,5094,483,72,20,695
2024-08-02,111,74233,41540,18011,449,282,124,966
2024-08-03,147,90325,839,13519,515,27,88,777
2024-08-04,121,19032,22201,42135,119,118,317,675
2024-08-05,112,105704,65381,15667,554,413,105,1184
2024-08-06,110,104621,89262,39446,552,444,295,1401
2024-08-07,115,3509,8926,44593,65,49,336,565
2024-08-08,138,99098,36134,21690,540,235,153,1066
2024-08-09,96,15464,72006,45497,104,427,343,970
2024-08-10,147,40214,18363,18865,234,94,130,605
2024-08-11,114,89220,49957,48203,512,345,365,1336
2024-08-12,110,19291,65976,4464,120,415,15,660
2024-08-13,126,98156,55438,34350,538,376,254,1294
2024-08-14,116,99856,16922,24690,542,85,177,920
2024-08-15,105,60896,31984,19382,372,197,135,809
2024-08-16,109,766,70541,31635,59,425,233,826
2024-08-17,148,34444,49880,35192,199,345,261,953
2024-08-18,124,74031,470,218,448,26,0,598
2024-08-19,118,117742,68489,8347,572,421,46,1157
2024-08-20,117,75817,3178,35652,456,32,265,870
2024-08-21,110,31176,67116,33319,180,417,246,953
2024-08-22,138,76080,18223,48302,458,93,366,1055
2024-08-23,123,64798,86226,38051,396,442,284,1245
2024-08-24,122,93581,33114,47538,525,208,360,1215
2024-08-25,134,12837,29423,35127,94,175,261,664
2024-08-26,110,91323,13399,14902,519,67,99,795
2024-08-27,126,64951,27504,5268,397,159,22,704
2024-08-28,109,115559,78898,39091,570,436,292,1407
2024-08-29,116,41024,89670,32207,240,444,237,1037
2024-08-30,123,75914,33147,2409,457,208,0,788
2024-08-31,151,111843,40374,18002,565,272,124,1112
2024-09-01,121,12301,64986,47839,92,412,362,987
2024-09-02,115,112467,79757,25020,565,437,180,1297
2024-09-03,113,82546,53373,21636,487,365,153,1118
2024-09-04,112,8140,35237,22884,79,227,163,581
2024-09-05,136,36115,37135,10444,209,244,63,652
2024-09-06,123,84980,62605,18435,497,405,127,1152
2024-09-07,131,8082,289,18490,78,26,127,362
2024-09-08,143,69860,55763,2617,425,378,0,946
2024-09-09,140,41505,31994,38378,243,198,287,868
2024-09-10,129,74509,71477,20825,450,426,146,1151
2024-09-11,104,5489,8369,41108,71,47,308,530
2024-09-12,115,104584,52938,42517,552,363,320,1350
2024-09-13,132,116818,43287,10599,571,296,64,1063
2024-09-14,138,116265,57809,32867,571,387,242,1338
2024-09-15,139,89958,5836,23614,514,39,168,860
2024-09-16,128,15610,52198,44007,105,359,332,924
2024-09-17,111,90991,50533,10787,518,349,66,1044
2024-09-18,120,2950,50459,33890,64,348,251,783
2024-09-19,88,2654,54313,30387,63,370,223,744
2024-09-20,110,38833,60882,14765,226,399,98,833
2024-09-21,143,58637,72449,6830,357,428,34,962
2024-09-22,123,92448,24283,32581,522,134,240,1019
2024-09-23,137,81995,74254,36929,485,431,275,1328
2024-09-24,107,53508,44843,15781,323,309,106,845
2024-09-25,117,32835,6935,32241,189,43,237,586
2024-09-26,123,119654,5269,19756,574,38,138,873
2024-09-27,136,51141,30081,35660,307,181,265,889
2024-09-28,132,54166,70640,9960,328,425,59,944
2024-09-29,148,19634,63691,44510,121,408,336,1013
2024-09-30,122,95377,70975,14370,531,426,94,1173
2024-10-01,112,83241,46554,18389,490,322,127,1051
2024-10-02,127,26492,39617,2904,154,266,3,550
2024-10-03,124,9885,13270,5575,84,67,24,299
2024-10-04,116,81659,29537,25793,483,176,186,961
2024-10-05,148,78541,39061,13379,469,261,87,965
2024-10-06,134,32791,7974,41774,189,46,314,683
2024-10-07,124,114103,19855,734,568,103,0,795
2024-10-08,130,18126,53840,18954,115,368,131,744
2024-10-09,139,51880,66209,16867,312,415,114,980
2024-10-10,111,113233,89851,966,567,444,0,1122
2024-10-11,145,50367,83980,6218,302,441,29,917
2024-10-12,129,76623,57830,20682,460,387,145,1121
2024-10-13,137,47711,37912,24643,284,251,177,849
2024-10-14,130,32905,57255,20214,189,385,141,845
2024-10-15,127,118077,70708,26546,573,425,192,1317
2024-10-16,118,49120,10650,29756,294,56,218,686
2024-10-17,122,107291,36891,496,557,241,0,920
2024-10-18,119,27594,75582,23204,160,433,165,877
2024-10-19,144,25572,34544,48174,149,220,365,878
2024-10-20,148,3736,51468,25951,66,354,187,755
2024-10-21,128,78200,52899,33877,468,363,251,1210
2024-10-22,118,44223,16602,15593,261,83,104,566
2024-10-23,134,103722,32601,38699,550,203,289,1176
2024-10-24,128,56785,30106,38646,345,181,289,943
2024-10-25,133,116183,2357,26064,570,30,188,921
2024-10-26,157,22263,2177,48800,133,30,370,690
2024-10-27,132,104234,74852,6277,551,432,30,1145
2024-10-28,120,93191,24576,847,524,136,0,780
2024-10-29,133,92510,46627,38507,522,322,288,1265
2024-10-30,132,101373,26885,40357,545,154,302,1133
2024-10-31,126,91322,84661,6010,519,441,28,1114
2024-11-01,207,75146,23336,13279,453,127,86,873
2024-11-02,244,15749,38669,877,105,257,0,606
2024-11-03,216,3903,78545,14665,66,436,97,815
2024-11-04,212,110501,75774,38657,563,433,289,1497
2024-11-05,205,73998,16749,25898,447,84,187,923
2024-11-06,205,95584,72237,17404,531,428,119,1283
2024-11-07,218,57782,41236,18586,351,279,128,976
2024-11-08,215,14076,43467,67,99,298,0,612
2024-11-09,241,15022,12013,14990,102,61,99,503
2024-11-10,236,82267,7254,32322,486,44,238,1004
2024-11-11,208,51636,65514,48709,311,413,369,1301
2024-11-12,215,24062,44681,42353,142,308,318,983
2024-11-13,205,58991,39316,1179,359,263,0,827
2024-11-14,211,7705,65655,44928,77,414,339,1041
2024-11-15,207,69836,68896,39159,425,421,293,1346
2024-11-16,234,32279,14301,39018,186,72,292,784
2024-11-17,229,95707,54920,22899,531,374,163,1297
2024-11-18,200,37243,12181,19900,216,62,139,617
2024-11-19,230,54626,67623,15145,331,419,101,1081
2024-11-20,199,1394,59125,3284,60,392,6,657
2024-11-21,197,8693,86095,11411,80,442,71,790
2024-11-22,221,47099,6206,12330,280,40,78,619
2024-11-23,242,57592,5134,24203,350,37,173,802
2024-11-24,231,72002,25396,37372,437,142,278,1088
2024-11-25,216,34999,23553,23690,202,128,169,715
2024-11-26,210,83397,22228,2892,490,119,3,822
2024-11-27,201,103214,81562,47889,549,439,363,1552
2024-11-28,211,93582,22459,47136,525,120,357,1213
2024-11-29,203,4754,24475,39259,69,135,294,701
2024-11-30,245,57660,68345,49566,351,420,376,1392
2024-12-01,144,12591,40476,27224,93,273,197,707
2024-12-02,122,29045,69903,48138,168,424,365,1079
2024-12-03,127,118399,5882,3780,573,39,10,749
2024-12-04,135,17099,43881,18284,111,301,126,673
2024-12-05,125,59866,3025,11269,365,32,70,592
2024-12-06,123,74178,5638,9791,448,39,58,668
2024-12-07,159,84295,81579,7040,494,439,36,1128
2024-12-08,149,67157,12532,31120,410,63,228,850
2024-12-09,126,1172,47917,39066,59,331,292,808
2024-12-10,127,39175,36998,28914,228,242,211,808
2024-12-11,134,62125,31260,7348,379,191,38,742
2024-12-12,117,10543,80985,40556,86,438,304,945
2024-12-13,118,42075,1964,31797,247,29,234,628
2024-12-14,150,3984,59741,19408,67,395,135,747
2024-12-15,145,9429,86705,33706,83,442,249,919
2024-12-16,136,47630,50415,12995,284,348,83,851
2024-12-17,147,15925,84314,17259,106,441,118,812
2024-12-18,141,68104,4703,45874,415,36,346,938
2024-12-19,131,82735,37691,14525,488,249,96,964
2024-12-20,133,96070,23414,23499,532,127,167,959
2024-12-21,148,24018,65773,44507,142,414,336,1040
2024-12-22,148,20097,88316,35386,123,443,263,977
2024-12-23,131,12548,23087,3110,93,125,4,353
2024-12-24,137,76371,58875,7365,459,391,38,1025
2024-12-25,125,84777,17828,392,496,90,0,711
2024-12-26,139,3790,50879,31546,66,351,232,788
2024-12-27,149,112345,41753,22383,565,284,159,1157
2024-12-28,158,6236,87480,6713,73,443,33,707
2024-12-29,153,64955,54767,47896,397,373,363,1286
2024-12-30,141,85087,31455,26482,497,193,191,1022
2024-12-31,130,104516,10268,12094,552,54,76,812
2025-01-01,137,85690,13612,25030,499,68,180,884
2025-01-02,135,96207,20278,33981,533,105,251,1024
2025-01-03,136,40734,22586,3811,238,121,10,505
2025-01-04,152,97779,76555,13735,537,434,89,1212
2025-01-05,150,9613,50510,40348,83,349,302,884
2025-01-06,140,107377,47105,22983,557,326,163,1186
2025-01-07,150,65711,10329,27328,401,54,198,803
2025-01-08,145,98075,77412,21640,538,435,153,1271
2025-01-09,157,54278,65053,2194,328,412,0,897
2025-01-10,128,77229,6090,8287,463,40,46,677
2025-01-11,170,63168,63705,22277,386,408,158,1122
2025-01-12,153,87790,48918,10459,507,338,63,1061
2025-01-13,158,9795,7355,2498,84,44,0,286
2025-01-14,128,7242,41247,42182,76,280,317,801
2025-01-15,128,29652,43622,49059,171,299,372,970
2025-01-16,131,19145,14919,39657,119,75,297,622
2025-01-17,116,104614,85112,42689,552,441,321,1430
2025-01-18,157,26305,76497,12098,153,434,76,820
2025-01-19,145,117103,60212,48031,572,397,364,1478
2025-01-20,139,40427,41606,9846,236,283,58,716
2025-01-21,141,21854,37058,47571,131,243,360,875
2025-01-22,156,94763,58587,49740,529,390,377,1452
2025-01-23,147,79044,49088,35586,472,339,264,1222
2025-01-24,132,59783,5604,49057,364,39,372,907
2025-01-25,154,66643,46125,28476,407,319,207,1087
2025-01-26,158,86304,72576,12977,502,428,83,1171
2025-01-27,125,27414,41331,21849,159,280,154,718
2025-01-28,157,119560,4676,29678,574,36,217,984
2025-01-29,150,116975,70765,3654,571,425,9,1155
2025-01-30,134,78039,18122,31117,467,92,228,921
2025-01-31,122,23945,23275,49058,141,126,372,761
2025-02-01,177,81627,14823,9505,483,74,56,790
2025-02-02,153,8663,29719,39629,80,178,297,708
2025-02-03,152,3678,68107,45394,66,420,343,981
2025-02-04,123,30921,46744,47185,178,323,357,981
2025-02-05,133,55514,18439,48006,337,94,364,928
2025-02-06,140,104192,79004,26072,551,437,188,1316
2025-02-07,140,87260,79162,48865,505,437,370,1452
2025-02-08,160,89124,78352,37865,511,436,282,1389
2025-02-09,161,51059,21491,8083,307,114,44,626
2025-02-10,129,41512,40611,23845,243,274,170,816
2025-02-11,139,44524,88649,35916,263,443,267,1112
2025-02-12,142,118517,69481,12367,573,423,78,1216
2025-02-13,146,4813,2445,32030,69,30,236,481
2025-02-14,148,104043,5868,33330,551,39,246,984
2025-02-15,155,69441,41753,8134,423,284,45,907
2025-02-16,141,52633,81829,28254,317,439,206,1103
2025-02-17,154,87030,48483,38581,504,335,288,1281
2025-02-18,145,58400,44803,24944,356,308,179,988
2025-02-19,134,104810,9492,605,553,51,0,738
2025-02-20,157,108084,59110,451,559,392,0,1108
2025-02-21,143,50606,73989,17851,304,430,122,999
2025-02-22,179,33219,34237,46309,191,218,350,938
2025-02-23,158,71082,69805,11433,432,423,71,1084
2025-02-24,163,109483,86802,31718,561,442,233,1399
2025-02-25,160,25279,18338,11103,148,93,68,469
2025-02-26,140,74755,47099,16083,451,326,108,1025
2025-02-27,152,75787,25842,42402,456,146,319,1073
2025-02-28,149,87973,71356,36443,508,426,271,1354
2025-03-01,181,15788,51983,4769,105,357,18,661
2025-03-02,148,85898,57112,21435,500,384,151,1183
2025-03-03,150,109083,71812,1458,560,427,0,1137
2025-03-04,154,21561,35637,24044,130,230,172,686
2025-03-05,126,28505,82358,33121,165,440,244,975
2025-03-06,132,116567,47972,5925,571,332,27,1062
2025-03-07,123,21717,14215,14444,131,71,95,420
2025-03-08,166,102526,62630,19891,548,405,139,1258
2025-03-09,166,59073,71393,45976,360,426,347,1299
2025-03-10,159,29667,28508,49662,171,167,377,874
2025-03-11,145,104489,77146,2245,552,435,0,1132
2025-03-12,161,53436,81552,38050,323,439,284,1207
2025-03-13,131,61778,24921,18586,377,138,128,774
2025-03-14,127,43108,88516,19622,253,443,136,959
2025-03-15,169,71154,12664,37713,432,64,281,946
2025-03-16,164,19622,18181,45921,121,92,347,724
2025-03-17,145,46929,16580,47546,279,83,360,867
2025-03-18,124,116329,80459,28856,571,438,210,1343
2025-03-19,144,30976,58886,17856,178,392,122,836
2025-03-20,132,78808,13689,39377,471,69,295,967
2025-03-21,152,39022,39629,12550,227,266,80,725
2025-03-22,174,92816,55376,28203,523,376,205,1278
2025-03-23,151,15704,7511,17928,105,44,123,423
2025-03-24,141,116378,79417,32831,571,437,242,1391
2025-03-25,135,54454,72324,12019,329,428,76,968
2025-03-26,146,28326,45468,9579,164,314,56,680
2025-03-27,156,8819,87041,45911,81,443,347,1027
2025-03-28,137,20370,37598,5090,125,248,20,530
2025-03-29,177,62372,88569,25297,381,443,182,1183
2025-03-30,156,40440,60112,11042,236,396,68,856
2025-03-31,139,99466,57120,1946,541,384,0,1064
2025-04-01,146,51706,14935,1800,311,75,0,532
2025-04-02,137,29845,79373,8761,172,437,50,796
2025-04-03,142,74057,38474,43338,448,256,326,1172
2025-04-04,135,84813,14601,14123,496,73,92,796
2025-04-05,192,20045,1134,47522,123,28,360,703
2025-04-06,163,20114,50378,29081,124,348,212,847
2025-04-07,141,4400,47465,21830,68,328,154,691
2025-04-08,150,88368,64741,29004,509,411,212,1282
2025-04-09,147,79656,80123,25834,474,438,186,1245
2025-04-10,146,56955,7146,37938,346,43,283,818
2025-04-11,154,101300,65834,14124,545,414,92,1205
2025-04-12,181,96680,16867,17652,534,85,121,921
2025-04-13,158,70242,77235,44704,427,435,337,1357
2025-04-14,143,104192,73715,47322,551,430,358,1482
2025-04-15,146,24700,48671,44627,145,337,337,965
2025-04-16,126,13430,63921,20972,97,409,147,779
2025-04-17,134,32369,28291,39018,186,166,292,778
2025-04-18,163,6850,42405,23816,75,289,170,697
2025-04-19,191,63740,73947,24876,389,430,179,1189
2025-04-20,162,112392,41333,10234,565,280,61,1068
2025-04-21,155,4721,32201,29556,69,199,216,639
2025-04-22,153,14653,44479,9306,101,306,54,614
2025-04-23,181,54263,74542,16578,328,431,112,1052
2025-04-24,161,112065,30168,42751,565,182,322,1230
2025-04-25,149,37938,15638,10353,220,78,62,509
2025-04-26,166,60868,64081,3557,371,409,8,954
2025-04-27,149,4988,74338,3450,69,431,7,656
2025-04-28,153,17801,9057,47039,114,50,356,673
2025-04-29,143,118395,21588,25346,573,114,182,1012
2025-04-30,137,115814,12777,20470,570,65,143,915
2025-05-01,145,592,31314,40543,58,192,304,699
2025-05-02,140,114217,40531,41791,568,273,314,1295
2025-05-03,193,76694,67394,16609,461,418,112,1184
2025-05-04,175,104150,58603,34680,551,390,257,1373
2025-05-05,152,54568,55883,38556,330,378,288,1148
2025-05-06,167,61871,31713,32732,378,195,241,981
2025-05-07,153,58661,75730,7579,357,433,40,983
2025-05-08,143,80023,42415,43794,476,289,330,1238
2025-05-09,167,16758,88119,26954,109,443,195,914
2025-05-10,183,3596,57072,14123,66,384,92,725
2025-05-11,157,36951,11363,21261,214,59,150,580
2025-05-12,151,84561,60855,1878,495,399,0,1045
2025-05-13,144,24222,29259,6393,143,174,31,492
2025-05-14,139,80811,61769,38277,480,402,286,1307
2025-05-15,162,116389,6267,0,571,41,0,774
2025-05-16,172,11268,15739,20828,89,79,146,486
2025-05-17,164,80712,77016,26125,479,434,189,1266
2025-05-18,174,53250,20446,2731,321,107,1,603
2025-05-19,147,104177,75333,48653,551,432,369,1499
2025-05-20,149,21257,25134,11306,129,140,70,488
2025-05-21,148,83115,57859,15209,489,387,101,1125
2025-05-22,145,100573,62473,15197,544,405,101,1195
2025-05-23,155,113353,46138,11520,567,319,72,1113
2025-05-24,171,81989,27477,73,485,159,0,815
2025-05-25,172,59660,19137,36467,364,98,271,905
2025-05-26,154,74141,2987,48342,448,32,366,1000
2025-05-27,152,104268,27355,11214,551,158,69,930
2025-05-28,146,68473,58784,33152,417,391,245,1199
2025-05-29,149,3646,84447,37094,66,441,276,932
2025-05-30,163,111713,78408,42421,564,436,319,1482
2025-05-31,185,82743,68945,21131,488,422,149,1244
2025-06-01,211,81181,70960,15146,481,426,101,1219
2025-06-02,206,25881,59848,16264,151,395,110,862
2025-06-03,213,79066,23425,35631,472,127,265,1077
2025-06-04,189,47263,81647,40838,281,439,306,1215
2025-06-05,211,78147,60365,9080,468,397,52,1128
2025-06-06,199,12791,50439,18547,94,348,128,769
2025-06-07,237,78941,9989,45097,471,53,340,1101
2025-06-08,214,119929,40234,40334,575,271,302,1362
2025-06-09,188,5785,41432,49242,72,281,373,914
